Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
South Asia,Bangladesh,"Calendar Year (Jan - Dec), 2019",,13.9
South Asia,Bhutan,"Calendar Year (Jan - Dec), 2019",,16.0
South Asia,Iran,"Calendar Year (Jan - Dec), 2019",,19.8
South Asia,Maldives,"Calendar Year (Jan - Dec), 2019",,13.9
South Asia,Nepal,"Calendar Year (Jan - Dec), 2019",,21.9
South Asia,Pakistan,"Calendar Year (Jan - Dec), 2019",,29.9
South Asia,Sri Lanka,"Calendar Year (Jan - Dec), 2019",,11.1
South East Asia,Indonesia,"Calendar Year (Jan - Dec), 2019",,16.2
South East Asia,Malaysia,"Calendar Year (Jan - Dec), 2019",,10.2
South East Asia,Myanmar (Burma),"Calendar Year (Jan - Dec), 2019",,10.4
South East Asia,Others,"Calendar Year (Jan - Dec), 2019",,19.5
South East Asia,Phillippines,"Calendar Year (Jan - Dec), 2019",,12.2
